Timestamp (s), Voltage (V), Velocity, Accel
0.000040,0.000000,0.000000,0.000000
0.009352,1.175333,0.000000,0.000000
0.019393,3.254333,0.000000,0.000000
0.029312,5.587167,0.000000,0.000000
0.039368,7.188500,0.000000,0.000000
0.049321,7.853833,0.000000,0.000000
0.059398,7.563167,6.113560,-305.677990
0.069312,6.897167,6.113560,-305.677990
0.079385,7.183500,10.661195,-227.381752
0.089319,7.895000,10.661195,-227.381752
0.099397,8.183333,13.546963,-144.288388
0.109316,8.515000,13.546963,-144.288388
0.119385,8.810667,15.130908,-79.197291
0.129319,9.025500,15.130908,-79.197291
0.139394,9.081667,19.246301,-205.769634
0.149313,8.990500,19.246301,-205.769634
0.159390,8.785000,21.198250,-97.597468
0.169318,8.789167,21.198250,-97.597468
0.179390,8.977000,27.045048,-292.339860
0.189315,9.175000,27.045048,-292.339860
0.199388,9.339500,29.398415,-117.668378
0.209320,9.481333,29.398415,-117.668378
0.219388,9.611333,32.761379,-168.148169
0.229313,9.713167,32.761379,-168.148169
0.239389,9.764333,34.578714,-90.866774
0.249317,9.812667,34.578714,-90.866774
0.259390,9.898000,37.107575,-126.443041
0.269314,9.979833,37.107575,-126.443041
0.279386,10.069167,40.022856,-145.764045
0.289318,10.125667,40.022856,-145.764045
0.299390,10.146333,43.478249,-172.769641
0.309316,10.172000,43.478249,-172.769641
0.319386,10.225667,42.355939,56.115506
0.329317,10.291000,42.355939,56.115506
0.339393,10.325167,46.364744,-200.440271
0.349313,10.386667,46.364744,-200.440271
0.359389,10.478833,47.918910,-77.708318
0.369320,10.558167,47.918910,-77.708318
0.379389,10.621500,49.625774,-85.343164
0.389316,10.645333,49.625774,-85.343164
0.399388,10.689333,49.250303,18.773540
0.409319,10.715167,49.250303,18.773540
0.419393,10.766500,53.506391,-212.804430
0.429313,10.807500,53.506391,-212.804430
0.439391,10.841333,51.647802,92.929477
0.449318,10.887333,51.647802,92.929477
0.459393,10.925667,56.604201,-247.819944
0.469314,10.936667,56.604201,-247.819944
0.479389,10.983167,54.032300,128.595037
0.489321,11.047667,54.032300,128.595037
0.499393,11.044667,59.643849,-280.577435
0.509318,11.043833,59.643849,-280.577435
0.519391,11.072500,60.971899,-66.402527
0.529318,11.121667,60.971899,-66.402527
0.539396,11.175000,58.444390,126.375451
0.549316,11.195667,58.444390,126.375451
0.559392,11.223333,61.564173,-155.989157
0.569318,11.263333,61.564173,-155.989157
0.579392,11.318833,59.453844,105.516454
0.589317,11.324000,59.453844,105.516454
0.599388,11.334167,61.663673,-110.491458
0.609320,11.367167,61.663673,-110.491458
0.619391,11.364167,61.682671,-0.949896
0.629315,11.364000,61.682671,-0.949896
0.639391,11.347667,59.624563,102.905394
0.649319,11.351667,59.624563,102.905394
0.659395,11.379333,65.327357,-285.139684
0.669314,11.392833,65.327357,-285.139684
0.679388,11.443833,61.734224,179.656657
0.689321,11.472833,61.734224,179.656657
0.699392,11.479000,65.939216,-210.249582
0.709317,11.500333,65.939216,-210.249582
0.719389,11.514833,61.447763,224.572615
0.729318,11.502500,61.447763,224.572615
0.739393,11.505500,65.195063,-187.364969
0.749314,11.506667,65.195063,-187.364969
0.759391,11.510833,63.646400,77.433155
0.769318,11.483167,63.646400,77.433155
0.779394,11.479000,61.480922,108.273870
0.789319,11.482167,61.480922,108.273870
0.799389,11.494333,67.843130,-318.110398
0.809320,11.543667,67.843130,-318.110398
0.819392,11.596167,65.772077,103.552661
0.829315,11.615500,65.772077,103.552661
0.839393,11.615333,63.378576,119.675065
0.849318,11.622500,63.378576,119.675065
0.859393,11.603167,64.564941,-59.318254
0.869316,11.588833,64.564941,-59.318254
0.879389,11.561000,66.331998,-88.352880
0.889321,11.537500,66.331998,-88.352880
0.899391,11.526333,66.630024,-14.901282
0.909316,11.539667,66.630024,-14.901282
0.919390,11.565167,66.422290,10.386681
0.929318,11.588667,66.422290,10.386681
0.939395,11.638167,63.804202,130.904395
0.949314,11.658500,63.804202,130.904395
0.959393,11.671000,65.434943,-81.537029
0.969319,11.691667,65.434943,-81.537029
0.979391,11.681333,65.181133,12.690491
0.989317,11.689500,65.181133,12.690491
0.999391,11.653667,68.944525,-188.169599
1.009322,11.676167,68.944525,-188.169599
1.019398,11.677167,66.495079,122.472305
1.029316,11.656500,66.495079,122.472305
1.039394,11.648500,63.889008,130.303535
1.049319,11.649333,63.889008,130.303535
1.059397,11.642167,69.204778,-265.788489
1.069317,11.634167,69.204778,-265.788489
1.079388,11.660833,67.723172,74.080309
1.089321,11.695667,67.723172,74.080309
1.099395,11.702833,66.637515,54.282875
1.109319,11.703833,66.637515,54.282875
1.119392,11.717333,67.079528,-22.100664
1.129319,11.724333,67.079528,-22.100664
1.139397,11.721333,67.597551,-25.901176
